,Algorithm,$R^2$
128,SKLearn SGDRegressor,0.9892371280620619
129,SKLearn SGDRegressor,0.9894431333050162
130,SKLearn SGDRegressor,0.9893395922801982
131,SKLearn SGDRegressor,0.9894108018283176
132,SKLearn SGDRegressor,0.9841722837376787
133,SKLearn SGDRegressor,0.9840137103511335
134,SKLearn SGDRegressor,0.9827856007923422
135,SKLearn SGDRegressor,0.9875675405211052
136,SKLearn SGDRegressor,0.989188514044691
137,SKLearn SGDRegressor,0.9883367812630632
138,SKLearn SGDRegressor,0.9892335669621801
139,SKLearn SGDRegressor,0.989232129495926
140,SKLearn SGDRegressor,0.9892183459645537
141,SKLearn SGDRegressor,0.9894431333050162
142,SKLearn SGDRegressor,0.9893395922801982
143,SKLearn SGDRegressor,0.9894052105474721
144,SKLearn SGDRegressor,0.9893488734231506
145,SKLearn SGDRegressor,0.9892353785042165
146,SKLearn SGDRegressor,0.9893389342115337
147,SKLearn SGDRegressor,0.9875675405211052
148,SKLearn SGDRegressor,0.989188514044691
149,SKLearn SGDRegressor,0.9881639599402151
150,SKLearn SGDRegressor,0.9894575342306761
151,SKLearn SGDRegressor,0.9892614973037354
152,SKLearn SGDRegressor,0.9894100083824151
153,SKLearn SGDRegressor,0.9893980652683203
154,SKLearn SGDRegressor,0.989320533523592
155,SKLearn SGDRegressor,0.9893984354413382
156,SKLearn SGDRegressor,0.9893488734231506
157,SKLearn SGDRegressor,0.9892353785042165
158,SKLearn SGDRegressor,0.989324449889405
159,SKLearn SGDRegressor,0.9875675405211052
160,SKLearn SGDRegressor,0.989188514044691
161,SKLearn SGDRegressor,0.9869450436185259
162,SKLearn SGDRegressor,0.9894575342306761
163,SKLearn SGDRegressor,0.9892614973037354
164,SKLearn SGDRegressor,0.9893689140775639
165,SKLearn SGDRegressor,0.9893980652683203
166,SKLearn SGDRegressor,0.989320533523592
167,SKLearn SGDRegressor,0.9893816381600251
168,SKLearn SGDRegressor,0.9893488734231506
169,SKLearn SGDRegressor,0.9892353785042165
170,SKLearn SGDRegressor,0.9892918267558803
171,SKLearn SGDRegressor,0.9875675405211052
172,SKLearn SGDRegressor,0.989188514044691
173,SKLearn SGDRegressor,0.9883367812630632
174,SKLearn SGDRegressor,0.9894575342306761
175,SKLearn SGDRegressor,0.9892614973037354
176,SKLearn SGDRegressor,0.989306007372549
177,SKLearn SGDRegressor,0.9893980652683203
178,SKLearn SGDRegressor,0.989320533523592
179,SKLearn SGDRegressor,0.989359298310462
180,SKLearn SGDRegressor,0.9894707430696726
181,SKLearn SGDRegressor,0.9892495759245665
182,SKLearn SGDRegressor,0.9894221265942507
183,SKLearn SGDRegressor,0.9875675405211052
184,SKLearn SGDRegressor,0.989188514044691
185,SKLearn SGDRegressor,0.9881639599402151
186,SKLearn SGDRegressor,0.9873028335345252
187,SKLearn SGDRegressor,0.9867104524708934
188,SKLearn SGDRegressor,0.9870166493206822
189,SKLearn SGDRegressor,0.9894724275765683
190,SKLearn SGDRegressor,0.9892588990393036
191,SKLearn SGDRegressor,0.9894254401369368
192,SKLearn SGDRegressor,0.9894707430696726
193,SKLearn SGDRegressor,0.9892495759245665
194,SKLearn SGDRegressor,0.9893532385895727
195,SKLearn SGDRegressor,0.9875675405211052
196,SKLearn SGDRegressor,0.989188514044691
197,SKLearn SGDRegressor,0.9869450436185259
198,SKLearn SGDRegressor,0.9873028335345252
199,SKLearn SGDRegressor,0.9867104524708934
200,SKLearn SGDRegressor,0.9868537411149984
201,SKLearn SGDRegressor,0.9894724275765683
202,SKLearn SGDRegressor,0.9892588990393036
203,SKLearn SGDRegressor,0.9893604657684273
204,SKLearn SGDRegressor,0.9894707430696726
205,SKLearn SGDRegressor,0.9892495759245665
206,SKLearn SGDRegressor,0.9893236937079382
207,SKLearn SGDRegressor,0.9875675405211052
208,SKLearn SGDRegressor,0.989188514044691
209,SKLearn SGDRegressor,0.9883367812630632
210,SKLearn SGDRegressor,0.9873028335345252
211,SKLearn SGDRegressor,0.9867104524708934
212,SKLearn SGDRegressor,0.9868162010010966
